Date;Price;Vol.;Change %
8/10/2020;205.94;19.15M;-0.64%
8/7/2020;207.26;28.72M;-1.78%
8/6/2020;211.02;32.30M;-2.97%
8/5/2020;217.48;18.67M;0.78%
8/4/2020;215.8;20.68M;-0.88%
8/3/2020;217.72;20.15M;0.10%
07/31/2020;217.5;26.23M;0.55%
07/30/2020;216.32;25.32M;0.62%
07/29/2020;214.98;30.14M;0.46%
07/28/2020;214;38.45M;4.85%
07/27/2020;204.1;24.63M;1.35%
07/24/2020;201.39;40.54M;-4.13%
07/23/2020;210.07;26.54M;0.56%
07/22/2020;208.9;28.07M;1.61%
07/21/2020;205.58;31.79M;1.93%
07/20/2020;201.68;44.29M;-1.81%
07/17/2020;205.39;52.98M;1.90%
07/16/2020;201.56;70.57M;-10.00%
07/15/2020;223.95;37.17M;1.38%
07/14/2020;220.9;43.87M;1.24%
07/13/2020;218.2;48.88M;5.41%
7/10/2020;207;33.55M;1.61%
7/9/2020;203.72;29.52M;0.18%
7/8/2020;203.36;29.23M;0.73%
7/7/2020;201.89;38.41M;4.70%
7/6/2020;192.82;32.84M;2.17%
7/3/2020;188.72;30.82M;-0.41%
7/2/2020;189.49;34.89M;4.13%
7/1/2020;181.98;27.18M;6.35%
06/30/2020;171.12;18.99M;2.16%
06/29/2020;167.5;19.99M;-0.66%
06/24/2020;168.61;18.80M;0.38%
06/23/2020;167.98;26.53M;3.06%
06/22/2020;163;21.63M;-1.55%
06/19/2020;165.57;38.70M;4.55%
06/18/2020;158.36;19.95M;1.59%
06/17/2020;155.88;23.24M;-1.14%
06/16/2020;157.68;25.98M;0.43%
06/15/2020;157;26.62M;-2.79%
6/12/2020;161.5;17.65M;0.89%
6/11/2020;160.07;19.95M;-1.52%
6/10/2020;162.54;14.95M;-0.04%
6/9/2020;162.61;16.11M;1.25%
6/8/2020;160.61;22.26M;0.32%
6/5/2020;160.09;15.99M;0.78%
6/4/2020;158.85;13.63M;0.39%
6/3/2020;158.24;25.28M;-0.33%
6/2/2020;158.77;29.16M;0.11%
6/1/2020;158.59;35.78M;7.01%
05/29/2020;148.2;16.32M;1.40%
05/28/2020;146.16;14.82M;0.00%
05/27/2020;146.16;14.60M;-1.12%
05/26/2020;147.81;16.51M;0.53%
05/25/2020;147.03;24.36M;1.93%
05/22/2020;144.25;38.35M;-4.90%
05/21/2020;151.68;17.09M;0.55%
05/20/2020;150.85;17.04M;-0.38%
05/19/2020;151.42;17.65M;0.15%
05/18/2020;151.19;24.88M;4.11%
05/15/2020;145.22;16.06M;-0.74%
05/14/2020;146.3;15.36M;0.21%
05/13/2020;146;19.64M;2.17%
5/12/2020;142.9;15.18M;0.74%
5/11/2020;141.85;23.68M;-0.73%
5/8/2020;142.9;24.33M;0.70%
5/7/2020;141.91;27.80M;2.68%
5/6/2020;138.21;25.10M;1.80%
04/30/2020;135.77;22.86M;0.20%
04/29/2020;135.5;29.18M;-2.52%
04/28/2020;139;42.08M;4.75%
04/27/2020;132.7;15.93M;0.99%
04/24/2020;131.4;16.77M;0.24%
04/23/2020;131.09;21.33M;0.61%
04/22/2020;130.3;26.60M;3.03%
04/21/2020;126.47;20.55M;-2.20%
04/20/2020;129.31;13.22M;0.38%
04/17/2020;128.82;23.47M;2.16%
04/16/2020;126.1;18.83M;-1.42%
04/15/2020;127.91;16.30M;-0.42%
